"","subj","setsize","timepoint","meanCDA"
"3495",15,6,572,-0.834855156342819
"3496",15,6,576,-0.729604525270672
"3497",15,6,580,-0.655809621624988
"3498",15,6,584,-0.767729883007569
"3499",15,6,588,-0.893881574566446
"3500",15,6,592,-0.799411948687362
"3501",15,6,596,-0.587349538049727
"3502",15,6,600,-0.543975305784708
"3503",15,6,604,-0.751377272540002
"3504",15,6,608,-1.0321436657804
"3505",15,6,612,-1.22319798728083
"3506",15,6,616,-1.30699487874868
"3507",15,6,620,-1.32693224065824
"3508",15,6,624,-1.28960697506467
"3509",15,6,628,-1.19863126281738
"3510",15,6,632,-1.1199602645492
"3511",15,6,636,-1.10156823000862
"3512",15,6,640,-1.07662541640318
"3513",15,6,644,-0.959867178097154
"3514",15,6,648,-0.833819632789595
"3515",15,6,652,-0.87590764357574
"3516",15,6,656,-1.07680294747054
"3517",15,6,660,-1.22666430772732
"3518",15,6,664,-1.23392743776947
"3519",15,6,668,-1.2159919120916
"3520",15,6,672,-1.21690878289068
"3521",15,6,676,-1.20247146998036
"3522",15,6,680,-1.19448877644438
"3523",15,6,684,-1.16843366922966
"3524",15,6,688,-1.02803010341094
"3525",15,6,692,-0.88576896355514
"3526",15,6,696,-0.898125215818722
"3527",15,6,700,-0.941260532574016
"3528",15,6,704,-0.876440189872569
"3529",15,6,708,-0.814172411013701
"3530",15,6,712,-0.776994286001725
"3531",15,6,716,-0.638267923349622
"3532",15,6,720,-0.474663012288014
"3533",15,6,724,-0.451368797379515
"3534",15,6,728,-0.544787503018109
"3535",15,6,732,-0.629641897456166
"3536",15,6,736,-0.6349278715675
"3537",15,6,740,-0.610941323081345
"3538",15,6,744,-0.707139424331704
"3539",15,6,748,-0.902508458295008
"3540",15,6,752,-1.04974064221999
"3541",15,6,756,-1.21337307181182
"3542",15,6,760,-1.47508682654738
"3543",15,6,764,-1.58194680482897
"3544",15,6,768,-1.44131000091022
"3545",15,6,772,-1.34379962410175
"3546",15,6,776,-1.35634627589106
"3547",15,6,780,-1.22591086131072
"3548",15,6,784,-1.00120090362413
"3549",15,6,788,-0.913416175732969
"3550",15,6,792,-0.880280230643384
"3551",15,6,796,-0.710008932451854
"3552",15,6,800,-0.494760877982179
"3553",15,6,804,-0.42883701765354
"3554",15,6,808,-0.507350100407205
"3555",15,6,812,-0.538876066757689
"3556",15,6,816,-0.422882836504743
"3557",15,6,820,-0.302644701207243
"3558",15,6,824,-0.348304914410271
"3559",15,6,828,-0.473750062787726
"3560",15,6,832,-0.511213880521223
"3561",15,6,836,-0.483765885431637
"3562",15,6,840,-0.547160976568937
"3563",15,6,844,-0.773176550972502
"3564",15,6,848,-1.0729987673661
"3565",15,6,852,-1.25599972734023
"3566",15,6,856,-1.20702272557727
"3567",15,6,860,-1.00296986178979
"3568",15,6,864,-0.806152772611862
"3569",15,6,868,-0.705828879304398
"3570",15,6,872,-0.653087062910798
"3571",15,6,876,-0.591231392897864
"3572",15,6,880,-0.558657873993964
"3573",15,6,884,-0.608320055188273
"3574",15,6,888,-0.69542925239772
"3575",15,6,892,-0.835143096579477
"3576",15,6,896,-1.02565307866245
"3577",16,2,304,0.0466827145949263
"3578",16,2,308,-0.0221029549918166
"3579",16,2,312,0.0687967446740316
"3580",16,2,316,0.490440187124932
"3581",16,2,320,0.62045729139389
"3582",16,2,324,0.30453199822695
"3583",16,2,328,0.141020248022368
"3584",16,2,332,0.289540246358429
"3585",16,2,336,0.401781117021277
"3586",16,2,340,0.330427048213312
